评论,时间,点赞数
我喝过你喝过的西北风，那么我们算不算一样穷[思考],2021-02-05 12:50:32,65207
此时一个自信的少年打开了全民K歌[doge],2021-01-27 11:40:57,55711
听到这句歌词“我吹过你吹过的晚风，那我们算不算相拥”时，突然记起了这句话“两处相思同淋雪，此生也算共白头”,2021-01-29 22:25:06,37575
女朋友推荐来的她说“我吹过你吹过的晚风，那我们算不算相拥”这句歌词让她爱上了这首歌虽然现在我们相隔大半个中国，而且她是一名医生，蛮让我担心的，希望你可以好好的回到我身边吧，未来可期,2021-02-01 04:43:55,28708
“我和我的他，差了一个次元。”,2021-02-01 18:46:32,20587
我一个高一复读的高三生听到“自不量力的复读生完不成金榜题名的使命”的时候就已经哭的稀里哗啦了[大哭],2021-01-23 13:15:27,15033
我和我的纸片人男友们.jpg[酸了],2021-02-08 15:11:19,12894
我喝过你喝过的西北风~那我们算不算相拥[doge],2021-01-22 18:45:55,9249
艾辰25岁 当红中国内地歌手全民K歌第一个粉丝过千万的人歌曲酷狗播放量近2亿原创歌曲:《错位时空》《落》《愿》《离》《羡》《念》《东坡》《谁与归》《一抹柔情》《最高地位》《来不及说再见》《桃花凉》《初雪的谎言》《恋爱啦》《小橙子之歌》 《君不见》《归还》《移植》《甜蜜征兆》《心疼你的坦诚》《荒野》《想你》《花还在开》…,2021-01-22 20:42:07,22538
转发艾辰原创歌曲《错位时空》没有抄袭。歌词“我吹过你吹过的晚风，那我们算不算相拥”早在14年就是网络红句，而博主“德卡先生的信箱”于2015年收录的比句。艾辰工作室和尔盟已在微博发表声明，请理性看待。,2021-02-07 22:37:12,9638
艾辰--错位时空词  周仁  曲  张博文 编曲  陈林  分轨混音  Mr.鱼  制作人  艾辰  填不满半排观众的电影直到散场时突然亮起灯字幕定格在某某出品和发行我目送 他们行色匆匆像个自不量力的复读生完不成金榜题名的使命命不是猜剪刀石头布的决定那么任性我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空数不完见证许愿的繁星没灵验谁来安慰坏心情十字路口闪烁不停的信号灯有个人 显然心事重重三个字 只能说给自己听仰着头不要让眼泪失控哪里有可以峰回路转的宿命我不想听我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空 成空,2021-01-22 18:35:03,6492
这是她和我一起听的最后一首歌，那天过后她因为病情走了。而我什么都没有，只有她东西，照片，而我又不能跟她一起去。这半个月，自己躲家里，也不想见人。哭的哭不出来。我的丫头就这样没了。,2021-02-10 09:36:30,5644
填不满二分之一的尾款只到绝版时依然付不起只能下次复刻还是没钱买我目送他们钱包空空像个自不量力的初中生直到初三时还什么不会一看到试卷就像打了麻醉剂我还想睡我喝过你喝过的西北风那我们算不算相拥可如梦初醒般的试卷空空分也空我付过你付过尾款那我们算不算双子想扰乱时差留在王者峡谷终下课下课[doge],2021-01-23 20:00:34,5945
大家都说听这首歌心里想的喜欢的人，为什么我脑子里只有嗑的CP，这就是我万年单身狗的究极原因嘛,2021-02-14 18:56:05,3970
今日表白失败了，点个赞安慰一下吧。[哭泣],2021-02-15 01:10:26,5001
……瓶邪黑花人死在这里了,2021-01-28 13:45:58,4978
素材～《等雨》《约束》《避难所》《落下生》《悠久之翼》《十字路口》《你的名字》《天气之子》《海兽之子》《境界的彼方》《直到梦醒时分》《海边的异邦人》《Jose的虎与鱼们》《CHRONICLE》（还有几个是日语的番我不会打出来[笑哭][笑哭]）,2021-01-22 19:07:38,1718
和老婆，王者荣耀相识，从不同的晚风，到同淋一场雨。今天是我结婚的第五个月。,2021-02-03 21:51:32,2619
讲道理，唱的不错，旋律不错，就是有些地方的词感觉差点意思,2021-01-24 19:32:24,3228
刚才看到弹幕有个“我吹着来自西伯利亚的寒流”，然而寒暖流是指的洋流的性质，是海上的，西伯利亚高压是陆地上的哦(来自耿直的小理生),2021-02-10 20:12:12,1393
我喝过你喝过的西北风，那么我们算不算一样穷[思考],2021-02-05 12:50:32,65207
此时一个自信的少年打开了全民K歌[doge],2021-01-27 11:40:57,55711
听到这句歌词“我吹过你吹过的晚风，那我们算不算相拥”时，突然记起了这句话“两处相思同淋雪，此生也算共白头”,2021-01-29 22:25:06,37575
女朋友推荐来的她说“我吹过你吹过的晚风，那我们算不算相拥”这句歌词让她爱上了这首歌虽然现在我们相隔大半个中国，而且她是一名医生，蛮让我担心的，希望你可以好好的回到我身边吧，未来可期,2021-02-01 04:43:55,28708
“我和我的他，差了一个次元。”,2021-02-01 18:46:32,20587
我一个高一复读的高三生听到“自不量力的复读生完不成金榜题名的使命”的时候就已经哭的稀里哗啦了[大哭],2021-01-23 13:15:27,15033
我和我的纸片人男友们.jpg[酸了],2021-02-08 15:11:19,12894
我喝过你喝过的西北风~那我们算不算相拥[doge],2021-01-22 18:45:55,9249
艾辰25岁 当红中国内地歌手全民K歌第一个粉丝过千万的人歌曲酷狗播放量近2亿原创歌曲:《错位时空》《落》《愿》《离》《羡》《念》《东坡》《谁与归》《一抹柔情》《最高地位》《来不及说再见》《桃花凉》《初雪的谎言》《恋爱啦》《小橙子之歌》 《君不见》《归还》《移植》《甜蜜征兆》《心疼你的坦诚》《荒野》《想你》《花还在开》…,2021-01-22 20:42:07,22538
转发艾辰原创歌曲《错位时空》没有抄袭。歌词“我吹过你吹过的晚风，那我们算不算相拥”早在14年就是网络红句，而博主“德卡先生的信箱”于2015年收录的比句。艾辰工作室和尔盟已在微博发表声明，请理性看待。,2021-02-07 22:37:12,9638
艾辰--错位时空词  周仁  曲  张博文 编曲  陈林  分轨混音  Mr.鱼  制作人  艾辰  填不满半排观众的电影直到散场时突然亮起灯字幕定格在某某出品和发行我目送 他们行色匆匆像个自不量力的复读生完不成金榜题名的使命命不是猜剪刀石头布的决定那么任性我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空数不完见证许愿的繁星没灵验谁来安慰坏心情十字路口闪烁不停的信号灯有个人 显然心事重重三个字 只能说给自己听仰着头不要让眼泪失控哪里有可以峰回路转的宿命我不想听我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空 成空,2021-01-22 18:35:03,6492
这是她和我一起听的最后一首歌，那天过后她因为病情走了。而我什么都没有，只有她东西，照片，而我又不能跟她一起去。这半个月，自己躲家里，也不想见人。哭的哭不出来。我的丫头就这样没了。,2021-02-10 09:36:30,5644
填不满二分之一的尾款只到绝版时依然付不起只能下次复刻还是没钱买我目送他们钱包空空像个自不量力的初中生直到初三时还什么不会一看到试卷就像打了麻醉剂我还想睡我喝过你喝过的西北风那我们算不算相拥可如梦初醒般的试卷空空分也空我付过你付过尾款那我们算不算双子想扰乱时差留在王者峡谷终下课下课[doge],2021-01-23 20:00:34,5945
大家都说听这首歌心里想的喜欢的人，为什么我脑子里只有嗑的CP，这就是我万年单身狗的究极原因嘛,2021-02-14 18:56:05,3970
今日表白失败了，点个赞安慰一下吧。[哭泣],2021-02-15 01:10:26,5001
……瓶邪黑花人死在这里了,2021-01-28 13:45:58,4978
素材～《等雨》《约束》《避难所》《落下生》《悠久之翼》《十字路口》《你的名字》《天气之子》《海兽之子》《境界的彼方》《直到梦醒时分》《海边的异邦人》《Jose的虎与鱼们》《CHRONICLE》（还有几个是日语的番我不会打出来[笑哭][笑哭]）,2021-01-22 19:07:38,1718
和老婆，王者荣耀相识，从不同的晚风，到同淋一场雨。今天是我结婚的第五个月。,2021-02-03 21:51:32,2619
讲道理，唱的不错，旋律不错，就是有些地方的词感觉差点意思,2021-01-24 19:32:24,3228
刚才看到弹幕有个“我吹着来自西伯利亚的寒流”，然而寒暖流是指的洋流的性质，是海上的，西伯利亚高压是陆地上的哦(来自耿直的小理生),2021-02-10 20:12:12,1393
弹幕给我整笑又整吐，我开的十级屏蔽啊草。“十四岁的爱情最单纯”小孩，多学习，别整这些虚巴的熬，乖[吃瓜]再补一句，歌还挺好听的,2021-02-16 13:39:02,1827
复读生也可以金榜题名,2021-02-01 17:02:04,1221
第一次听 有点感觉第二次听 很好听，有点上头第三次听 我吹过你吹过的冷风(跟着哼),2021-01-24 21:15:14,1034
柔柔选在了瓜开的日子更视频[doge],2021-01-22 20:20:15,1059
明明自己都活的不像个人样，却还是一次一次的心疼别人，真是可笑,2021-01-29 09:52:36,1149
看到艾柔柔更新我啪的一下就点进来了。很快奥[doge],2021-01-22 18:01:29,1122
老婆离开我102天了，希望平行时空里，还有个我，要一直好好爱她！我，抓不住她了…,2021-02-11 21:06:37,693
看完墨茶的动态，再听这首歌真的感触好深,2021-01-23 18:00:21,1387
我也算是个小橙子吧，从18年愚人节《初雪的谎言》开始，那首歌知名度应该不高，但莫名很戳我，然后就从荔枝追到了斗鱼，那段时间几乎每天都蹲点看直播，那应该是我第一次这么喜欢一个人。      后来他越来越优秀了，我还是总能想起他直播时谈的梦想，比起喜欢，我更多的佩服他，因为在此前我从来没想过梦想竟然会对一个人产生那么大的影响，同时我羡慕着他，这种羡慕很莫名其妙，也许是因为我没有像他一样坚持下来的勇气。      后来因为各种各样的事，有很常一多时间没有关注他，不知道在什么时候，突然发现他和我印象中不太一样了，拍抖音视频，时不时的露脸，开网店，把签名当做粉丝福利……我知道这很正常，但有时会产生一种怪异的落差，而且最近刚发的两三首歌也没怎么听，仔细想想，最喜欢的还是《移植》《桃花凉》《落》和一些很早之前翻唱的歌。      他粉丝很多了，看直播时（不知道是不是真的）发现很多才十二三岁，所以新歌评论大部分风格差不多，写艾辰喜好，艾辰语录，还有无脑夸新歌好听的（有很多发歌不到一分钟就评好听的），有小部分甚至不接受批评，让人头大。。。     我没看过什么《终极笔记》，也不清楚《错位时空》是怎么火的。我不懂音乐，只是觉得旋律很好，词一般，唱腔……很耳熟（从《东坡》开始就这样了。。。）只希望粉丝理智一点，也要清楚“他已经努力了”不是“他不需要进步”的借口和理由。      艾辰加油[爱心]                                               ――2021.02.04,2021-02-04 18:32:17,592
我就随便说说别喷我哦(=・ω・=)说的不对请指正~以下只是个人见解:这首歌的歌词有的小伙伴说乱，那我就来梳理一下。这首歌的主人公（即我）应该是因为某种原因与其爱人分离（个人感觉就是失恋叭）整首歌的旋律较为心痛与哀婉。低潮像是在讲自己的人生是一场失败的电影，没有多少观众（可能指的是没有什么可以交心的人），而且最后，他们这些仅有的观众（即朋友）也行色匆匆地离去了。然后这首歌开始用比喻的手法，将“我”比做一个自不量力的复读生，完不成金榜题名的使命。这里可能指的就是“我”很没用，我就像那个复读生一样，他没有金榜题名，我也没能拥有属于自己的爱情……于是开始感慨，命就是这样，不能任性，不能草率决定。高潮是前面情绪的一个爆发。回想了自己的失败后，便想起了他/她，也就是主人公的恋人。你是我的精神支柱……可是你现在不见了……“我吹过你吹过的晚风，那我们算不算相拥……”这段高潮其实很好理解，就是梦里梦见爱人，醒来落空的怅然，像时空错乱般无法相见，终究是空（可我仍期望与他/她在错位时空相见，假如现实中不能相见的话）。第二段低潮，我对繁星许愿，却还是不能与爱人相见。我心情低落，心事重重，连“我爱你”这三个字都只能说给自己听。宿命不能改……然后是第二段高潮，重复第一段的。结尾在错位时空中，我们终究成空……是个大悲剧啊……歌词我觉得写的还是可以的，前面的歌词可能是乱了点，但也是在点题，也感受到了“我”的悲伤和思绪混乱叭。最后说一句“艾爹唱的好听哦(｀・ω・´)，我能深刻体会到刻骨铭心的爱(｡･ω･｡)。”,2021-02-03 13:35:48,581
循环瓶邪人已经没了,2021-01-29 15:06:15,611
这个唱法真的有点难受，感觉词和高潮部分都词也不太对，怎么就感觉只有高潮部分比较抓耳好听啊，希望出更好的作品吧[笑哭],2021-01-26 23:00:04,2090
好多人在这首歌里听到爱情，可我却想起了我的父亲。“我吹过你吹过的晚风，那我们算不算相拥”，我还是不能接受你的突然离去，所以我一直在安慰自己。,2021-02-09 12:31:57,285
我太爱我们广播室了！！！星期三傍晚它放了老大的《错位时空》！！！,2021-01-22 18:43:57,369
我挨过你挨过的冰雹，那我们算不算互殴[偷笑],2021-02-06 10:52:37,259
祝b站得女孩✨小巧玲珑 明眸皓润✨               转✨国色天姿 国色天香✨✨惜香怜玉 羞花闭月✨✨闭月羞花 皓齿明眸✨✨婀娜多姿 仪态万千✨✨仪态万方 德容兼备✨✨千娇百媚 千娇百态✨✨小鸟依人 百媚千娇✨✨杏脸桃腮 袅袅婷婷✨✨体态轻盈 艳美无敌✨✨艳丽夺目 亭亭玉立✨✨秀外惠中 秀外慧中✨✨闭月羞花 才貌双全✨✨才貌双全 玉骨冰肌✨✨如花似玉 衣香鬓影✨✨眉清目秀 闭月羞花✨✨沉鱼落雁 倾国倾城✨✨温婉娴淑 千娇百媚✨✨仪态万千 国色天香✨✨花容月貌 明目皓齿✨✨淡扫峨眉 清艳脱俗✨✨香肌玉肤 仪态万端✨✨婉风流转 美撼凡尘✨✨聘婷秀雅 娥娜翩跹✨✨俏丽多姿 风姿卓越✨✨顾盼流转 清丝纠缠✨✨举步轻摇 艳冠群芳✨✨剪水双瞳 美艳绝伦✨✨神仙玉骨 楚楚动人✨✨如花似玉 闭月羞花✨✨沉鱼落雁 倾国倾城✨✨千娇百媚 明目皓齿✨✨淡扫峨眉 清艳脱俗✨✨香肌玉肤 婉风流转✨✨美撼凡尘 聘婷秀雅✨✨娥娜翩跹 俏丽多姿✨✨风姿卓越 顾盼流转✨✨清丝纠缠 举步轻摇✨✨剪水双瞳 美艳绝伦✨✨神仙玉骨 如花似玉✨✨一代佳人 一代容华✨✨红粉佳人 红粉青娥✨✨天生尤物 姑射神人✨✨绝色美人 月里嫦娥✨✨人面桃花 天生丽质✨✨天香国色 仙资玉质✨✨妍资艳质 夭桃秾李✨✨色艳桃李 华如桃李✨✨桃羞杏让 如花似月✨✨羞花闭月 花容月貌✨✨芙蓉如面 粉白黛黑✨✨娇艳惊人 冠觉群芳✨✨风华绝代 秀色可餐✨✨沉渔落雁 倾国倾城✨✨明眸皓齿 粉妆玉琢✨✨桃腮杏脸 樱桃小口✨✨婀娜多姿 丰姿绰约✨✨娉婷袅娜 国色天姿✨✨倾国倾城 国色天香✨✨婀娜多姿 亭亭玉立✨✨粉面桃花 肤如凝脂✨✨声若莺啼 明眸皓齿✨✨花容月貌 风华绝代✨✨楚楚动人 冰清玉洁✨✨杨柳细腰 气质清纯✨✨容颜秀美 婉约可人✨✨天生丽质 美丽大方✨✨清秀大方 体态轻盈✨✨气质高雅 温柔体贴✨✨知书达礼 仪态万千✨✨艳冠群芳 楚楚动人✨✨秀外慧中 风情万种✨✨知书达理 温文尔雅✨✨空谷幽兰 超凡脱俗✨✨兰心蕙质 秀外慧中✨✨风华绝代 翩若惊鸿✨✨矫若游龙 温婉娴淑✨✨通情达理 温柔体贴✨❤❤❤❤❤❤❤❤❤❤祝b站得男孩娶上这样的女孩[歪嘴],2021-02-11 23:09:42,477
词  周仁  曲  张博文  OP  腾煌星象  出品  网易飓风工作室  编曲  陈林  分轨混音  Mr.鱼  制作人  艾辰  贝斯  谭玮  吉他  望雷  监制／统筹  孙斌@子文沐凡  贴唱／和声  沙栩帆  企划  丁柏昕/袁晓童  宣发  徐思灵  出品人  谢奇笛/凌联兴填不满半排观众的电影直到散场时突然亮起灯字幕定格在某某出品和发行我目送 他们行色匆匆像个自不量力的复读生完不成金榜题名的使命命不是猜剪刀石头布的决定那么任性我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空数不完见证许愿的繁星没灵验谁来安慰坏心情十字路口闪烁不停的信号灯有个人 显然心事重重三个字 只能说给自己听仰着头不要让眼泪失控哪里有可以峰回路转的宿命我不想听我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空 成空,2021-01-22 18:05:41,277
好家伙，老艾b站密码终于想起来了?,2021-01-22 18:14:08,235
加个泪痣？感情宁要给亚瑟家再加一座岛？,2021-07-10 23:32:50,165
八骏日行三万里，穆王何事不重来我命运般的小嫂子啊啊啊啊[大哭][大哭][大哭][大哭],2021-02-01 20:36:30,224
(复制 )来，我发一下大家想要的道歉:1头像描图亚瑟，已找到原画师，请向原画师道歉，画师本人素质好被偷了东西不追究不代表小偷是对的，不代表小偷有脸继续使用这些东西2看番剧的友善提醒换头像，ac回复:来告我啊，求求你了。足以看出此人素质低下，无版权意识，建议ac的歌可以全部无授权使用，毕竟这是本人的态度(虽然估计没人瞧的上)3直播辱骂看番剧的人“疯狗”“小学生暑假啦”，并嘲讽番剧根本没人看，不配让他道歉4加一条，5年前就开始偷aph的东西了，是个惯犯来洗地的粉丝，你giegie这三点道歉，他做到哪点了?随便转发，不客气[脱单doge],2021-07-19 20:58:52,186
歌词有惊艳的地方，但也有笔力不够的地方。比如什么空空，心也空。真得有点水，白瞎了这样好的主题，完全可以更好。起风了那样的词才牛,2021-01-30 12:51:38,394
同志们 咱狙他的目的是为了让他道歉，事情闹大了谁也不好看  建议大家不要进行人身攻击给圈子招黑，就事论事，“某某唱见被某圈粉丝逼到退圈”这肯定会给圈子带来影响。希望大家能克制情绪，不要让别人抓住把柄,2021-07-19 18:56:03,151
落泪了姐妹们  俺是英厨[大哭][大哭]  看到我们宝贝亚瑟这么努力学中文唱歌，我真是太感动了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜[大哭],2021-07-15 09:22:05,150
各位！！我转一下一位姐妹的话想去k歌对线的请一定要记住：各位养老院的亲们也注意不要被抓把柄了，这ac机灵得很，知道删不利评论，保留那些过激评论。我好多理智评论都被删的干干净净，稍微不理智的被全盘保留。ac就故意做给粉丝看，他想让粉丝以为他有理，帮他脏手,2021-07-19 16:43:14,173
“去到你的城市，吹过你吹过的风，算不算相拥。” ——德卡先生的信箱,2021-02-07 17:13:01,656
好看的高攀不起，丑的又瞧不上，真是可悲啊，好不容易找到了自己的归宿，结果只是暂住几天。,2021-02-04 11:53:50,176
"抱抱英sir，中文真的超难学的，像我们这些有母语环境的还好，真是辛苦你来b站当中文唱见了，虽然你总是跟对面尼桑吵架但是也不至于呜呜呜呜[大哭]希望你在这里过的好些，我会一直支持你的[大哭][大哭]Welcome to bilibili, Mr.Kirkland.",2021-07-15 07:21:29,132
希望那边有吃不完的草莓和饺子,2021-01-26 02:54:17,216
这几天都准备写本有点压抑的小说，谢谢这首歌，我最近都没有什么灵感，这首歌来的正好。,2021-01-23 08:06:13,138
您不解释一下“开了守护就是我的人了，把你以前的什么亚瑟通通忘掉”这是什么意思吗？不怕英厨冲过来把你端了？,2021-07-16 01:40:44,109
在？头像？？？宁也是亚瑟殖民地？？？,2021-07-10 23:21:58,120
呜呜呜呜泪目了家人们，仏仏他天天和亚瑟吵架，踢球还输了，整个欧洲都排挤他，他只能背井离乡，哥哥也不挽留，来到老朋友家，怕老朋友知道了笑他，只能整容整声带，还有装骚受，唱黄歌，苦练中文呜呜呜呜，太感动太励志了,2021-07-14 23:41:26,107
我想升级，所以给我点个赞吧[委屈][委屈],2021-02-10 14:08:10,201
我把骂它的评论都赞了一遍，老铁们我做的对吗[呲牙],2021-07-14 11:24:59,111
亚瑟有这么多明珠，你是哪个[微笑],2021-07-14 10:52:54,119
这个事情闹大了两边都不好看，况且也不是什么大事，赶紧道个歉这件事也就平了，都成年人了，也该为自己的行为负责了吧？这也是对喜欢“亚瑟·柯克兰”和“黑塔利亚”这个动漫的人群的尊重，更是对你的粉丝的负责。现在道歉，都不算晚,2021-07-14 09:14:51,96
艾辰：写尽千山，落笔是你。望尽星辰，梦里是你。三分月色，七分是你。书尽泛黄，扉页是你。繁华落尽，枕畔是你。行尽万水，尽头是你。千山万水，归处是你。铁马是你，冰河也是你。 你是往日的情书是日落的余情未了是路人脚下不停生长的风也是我喜欢的人艾辰，往后余生都是你,2021-01-22 18:07:46,177
班级作业来的[捂眼],2021-01-22 18:15:16,123
好船组头像用的很爽是吧，踹养老院很爽是吧，真因为养老院没人是吧，什么垃圾也来碰瓷养老院,2021-07-14 10:24:29,89
换头像，已经不是一次两次了，那么大个up不能自己约稿吗？笑死了,2021-07-10 17:43:11,87
艾辰16年就喜欢的一位歌手，全民第一个关注的那时候我才10岁hhh笙歌家族我也加过当时我还在九群呢，记得现场在歌房听过艾辰唱歌。渐渐的长大了笙歌好像因为一件事变了不叫笙歌了，艾辰我一直关注，桃花凉，落，东坡等我都很喜欢呀，希望艾辰越来越好，永远爱你。最后辰风破浪，为艾远航[打call],2021-02-04 22:22:58,122
虽然已经说过一次了但似没引起你注意女真当黑塔利亚没人是吗怎么什么都敢碰瓷也是艾辰几年的粉丝了希望针对这件事能赶紧道个歉不要把事情闹大了对双方粉丝也能有个交代我自己本身就是双厨最近几年黑塔利亚经常被踹门（懂得都懂）抛开别的光是描图当头像就不对吧或者说如果有版权的话就表明出来也不会有误会包括就是既然已经做出了决定就要承担相应的后果这种事不仅对自身不利而且粉丝会怎么想总而言之就是别描图别碰瓷谢谢别把别人的东西当自己的,2021-07-19 18:02:03,78
亲爱的，解释解释头像问题呗！[鼓掌],2021-07-10 09:32:15,87
