评论,时间,点赞数
(复制 )来，我发一下大家想要的道歉:1头像描图亚瑟，已找到原画师，请向原画师道歉，画师本人素质好被偷了东西不追究不代表小偷是对的，不代表小偷有脸继续使用这些东西2看番剧的友善提醒换头像，ac回复:来告我啊，求求你了。足以看出此人素质低下，无版权意识，建议ac的歌可以全部无授权使用，毕竟这是本人的态度(虽然估计没人瞧的上)3直播辱骂看番剧的人“疯狗”“小学生暑假啦”，并嘲讽番剧根本没人看，不配让他道歉4加一条，5年前就开始偷aph的东西了，是个惯犯来洗地的粉丝，你giegie这三点道歉，他做到哪点了?随便转发，不客气[脱单doge],2021-07-19 20:58:52,277
祝b站得女孩✨小巧玲珑 明眸皓润✨               转✨国色天姿 国色天香✨✨惜香怜玉 羞花闭月✨✨闭月羞花 皓齿明眸✨✨婀娜多姿 仪态万千✨✨仪态万方 德容兼备✨✨千娇百媚 千娇百态✨✨小鸟依人 百媚千娇✨✨杏脸桃腮 袅袅婷婷✨✨体态轻盈 艳美无敌✨✨艳丽夺目 亭亭玉立✨✨秀外惠中 秀外慧中✨✨闭月羞花 才貌双全✨✨才貌双全 玉骨冰肌✨✨如花似玉 衣香鬓影✨✨眉清目秀 闭月羞花✨✨沉鱼落雁 倾国倾城✨✨温婉娴淑 千娇百媚✨✨仪态万千 国色天香✨✨花容月貌 明目皓齿✨✨淡扫峨眉 清艳脱俗✨✨香肌玉肤 仪态万端✨✨婉风流转 美撼凡尘✨✨聘婷秀雅 娥娜翩跹✨✨俏丽多姿 风姿卓越✨✨顾盼流转 清丝纠缠✨✨举步轻摇 艳冠群芳✨✨剪水双瞳 美艳绝伦✨✨神仙玉骨 楚楚动人✨✨如花似玉 闭月羞花✨✨沉鱼落雁 倾国倾城✨✨千娇百媚 明目皓齿✨✨淡扫峨眉 清艳脱俗✨✨香肌玉肤 婉风流转✨✨美撼凡尘 聘婷秀雅✨✨娥娜翩跹 俏丽多姿✨✨风姿卓越 顾盼流转✨✨清丝纠缠 举步轻摇✨✨剪水双瞳 美艳绝伦✨✨神仙玉骨 如花似玉✨✨一代佳人 一代容华✨✨红粉佳人 红粉青娥✨✨天生尤物 姑射神人✨✨绝色美人 月里嫦娥✨✨人面桃花 天生丽质✨✨天香国色 仙资玉质✨✨妍资艳质 夭桃秾李✨✨色艳桃李 华如桃李✨✨桃羞杏让 如花似月✨✨羞花闭月 花容月貌✨✨芙蓉如面 粉白黛黑✨✨娇艳惊人 冠觉群芳✨✨风华绝代 秀色可餐✨✨沉渔落雁 倾国倾城✨✨明眸皓齿 粉妆玉琢✨✨桃腮杏脸 樱桃小口✨✨婀娜多姿 丰姿绰约✨✨娉婷袅娜 国色天姿✨✨倾国倾城 国色天香✨✨婀娜多姿 亭亭玉立✨✨粉面桃花 肤如凝脂✨✨声若莺啼 明眸皓齿✨✨花容月貌 风华绝代✨✨楚楚动人 冰清玉洁✨✨杨柳细腰 气质清纯✨✨容颜秀美 婉约可人✨✨天生丽质 美丽大方✨✨清秀大方 体态轻盈✨✨气质高雅 温柔体贴✨✨知书达礼 仪态万千✨✨艳冠群芳 楚楚动人✨✨秀外慧中 风情万种✨✨知书达理 温文尔雅✨✨空谷幽兰 超凡脱俗✨✨兰心蕙质 秀外慧中✨✨风华绝代 翩若惊鸿✨✨矫若游龙 温婉娴淑✨✨通情达理 温柔体贴✨❤❤❤❤❤❤❤❤❤❤祝b站得男孩娶上这样的女孩[歪嘴],2021-02-11 23:09:42,530
落泪了姐妹们  俺是英厨[大哭][大哭]  看到我们宝贝亚瑟这么努力学中文唱歌，我真是太感动了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜[大哭],2021-07-15 09:22:05,196
词  周仁  曲  张博文  OP  腾煌星象  出品  网易飓风工作室  编曲  陈林  分轨混音  Mr.鱼  制作人  艾辰  贝斯  谭玮  吉他  望雷  监制／统筹  孙斌@子文沐凡  贴唱／和声  沙栩帆  企划  丁柏昕/袁晓童  宣发  徐思灵  出品人  谢奇笛/凌联兴填不满半排观众的电影直到散场时突然亮起灯字幕定格在某某出品和发行我目送 他们行色匆匆像个自不量力的复读生完不成金榜题名的使命命不是猜剪刀石头布的决定那么任性我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空数不完见证许愿的繁星没灵验谁来安慰坏心情十字路口闪烁不停的信号灯有个人 显然心事重重三个字 只能说给自己听仰着头不要让眼泪失控哪里有可以峰回路转的宿命我不想听我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空 成空,2021-01-22 18:05:41,291
加个泪痣？感情宁要给亚瑟家再加一座岛？,2021-07-10 23:32:50,205
同志们 咱狙他的目的是为了让他道歉，事情闹大了谁也不好看  建议大家不要进行人身攻击给圈子招黑，就事论事，“某某唱见被某圈粉丝逼到退圈”这肯定会给圈子带来影响。希望大家能克制情绪，不要让别人抓住把柄,2021-07-19 18:56:03,176
好家伙，老艾b站密码终于想起来了?,2021-01-22 18:14:08,245
八骏日行三万里，穆王何事不重来我命运般的小嫂子啊啊啊啊[大哭][大哭][大哭][大哭],2021-02-01 20:36:30,234
歌词有惊艳的地方，但也有笔力不够的地方。比如什么空空，心也空。真得有点水，白瞎了这样好的主题，完全可以更好。起风了那样的词才牛,2021-01-30 12:51:38,408
"抱抱英sir，中文真的超难学的，像我们这些有母语环境的还好，真是辛苦你来b站当中文唱见了，虽然你总是跟对面尼桑吵架但是也不至于呜呜呜呜[大哭]希望你在这里过的好些，我会一直支持你的[大哭][大哭]Welcome to bilibili, Mr.Kirkland.",2021-07-15 07:21:29,172
各位！！我转一下一位姐妹的话想去k歌对线的请一定要记住：各位养老院的亲们也注意不要被抓把柄了，这ac机灵得很，知道删不利评论，保留那些过激评论。我好多理智评论都被删的干干净净，稍微不理智的被全盘保留。ac就故意做给粉丝看，他想让粉丝以为他有理，帮他脏手,2021-07-19 16:43:14,201
您不解释一下“开了守护就是我的人了，把你以前的什么亚瑟通通忘掉”这是什么意思吗？不怕英厨冲过来把你端了？,2021-07-16 01:40:44,141
呜呜呜呜泪目了家人们，仏仏他天天和亚瑟吵架，踢球还输了，整个欧洲都排挤他，他只能背井离乡，哥哥也不挽留，来到老朋友家，怕老朋友知道了笑他，只能整容整声带，还有装骚受，唱黄歌，苦练中文呜呜呜呜，太感动太励志了,2021-07-14 23:41:26,140
好看的高攀不起，丑的又瞧不上，真是可悲啊，好不容易找到了自己的归宿，结果只是暂住几天。,2021-02-04 11:53:50,184
“去到你的城市，吹过你吹过的风，算不算相拥。” ——德卡先生的信箱,2021-02-07 17:13:01,667
我把骂它的评论都赞了一遍，老铁们我做的对吗[呲牙],2021-07-14 11:24:59,141
这个事情闹大了两边都不好看，况且也不是什么大事，赶紧道个歉这件事也就平了，都成年人了，也该为自己的行为负责了吧？这也是对喜欢“亚瑟·柯克兰”和“黑塔利亚”这个动漫的人群的尊重，更是对你的粉丝的负责。现在道歉，都不算晚,2021-07-14 09:14:51,123
希望那边有吃不完的草莓和饺子,2021-01-26 02:54:17,223
在？头像？？？宁也是亚瑟殖民地？？？,2021-07-10 23:21:58,144
这几天都准备写本有点压抑的小说，谢谢这首歌，我最近都没有什么灵感，这首歌来的正好。,2021-01-23 08:06:13,144
亚瑟有这么多明珠，你是哪个[微笑],2021-07-14 10:52:54,141
好船组头像用的很爽是吧，踹养老院很爽是吧，真因为养老院没人是吧，什么垃圾也来碰瓷养老院,2021-07-14 10:24:29,107
我想升级，所以给我点个赞吧[委屈][委屈],2021-02-10 14:08:10,207
换头像，已经不是一次两次了，那么大个up不能自己约稿吗？笑死了,2021-07-10 17:43:11,105
ac死不悔改真就离谱，抄谁不好抄亚瑟，而且眉毛都没改。还点了个泪痣，这难道是葡哥和亚瑟的孩子「？」真就当养老院没装门了你抄袭时的笑容都没亚瑟甜死不悔改的模样真特/么刺眼热爱抄袭描图的你坚持“自我”还不道歉你不知道你有多傻/缺做错事还煽动粉丝不道歉你从来都不轻言失败对错误的态度从未变换很疑惑 当你这样说快告了我吧求求你了啊踹开养老院大门你那侵权的模样,2021-07-16 10:00:20,106
艾辰的原头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话。（转）,2021-07-14 18:13:08,94
虽然已经说过一次了但似没引起你注意女真当黑塔利亚没人是吗怎么什么都敢碰瓷也是艾辰几年的粉丝了希望针对这件事能赶紧道个歉不要把事情闹大了对双方粉丝也能有个交代我自己本身就是双厨最近几年黑塔利亚经常被踹门（懂得都懂）抛开别的光是描图当头像就不对吧或者说如果有版权的话就表明出来也不会有误会包括就是既然已经做出了决定就要承担相应的后果这种事不仅对自身不利而且粉丝会怎么想总而言之就是别描图别碰瓷谢谢别把别人的东西当自己的,2021-07-19 18:02:03,91
亲爱的，解释解释头像问题呗！[鼓掌],2021-07-10 09:32:15,101
班级作业来的[捂眼],2021-01-22 18:15:16,127
我以为艾辰糊了，没想到是我来早了[doge],2021-01-23 11:51:11,108
头像描图都不带改一下，不给解释吗？,2021-07-10 13:05:44,85
连我这种2G网都听说了。。。我是阴阳怪气和APH的双粉，在这狙你你也八成看不见，只能说你粉丝真像虾爬子，估计有不少也喜欢肖战割割。看样子你是不准备道歉了，跟你那群无脑粉对线也没啥意思，继续产粮了。我还真不知道为什么都是喜欢一个人，有些粉丝能完全否认那个人做过的错事，将他神圣化，还反客为主的去骂受害者，有些粉丝能接受那个人做过的错事，希望他能认识到自己的错误并改正，甚至不想他回来只盼望着他能正确且开心的生活。做一个尚且存有一些理智的粉丝有这么难吗？,2021-07-18 23:12:12,94
"艾辰黑历史合集：均  已  石  锤1.原头像描图亚瑟柯克兰，态度极其恶劣，且并不是全然无知，17年用原图做过头像2.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己）3.无版权翻唱撒野还魔改4.现头像人设是偷的零度恋人的，来人细说5.《念》Pv是描冰菓的6.酷狗音乐《醉赤壁》，网易云音乐《入戏太深》《踏山河》用的是英的那张图7.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森8.盗图《恋与制作人》中的白起9.网易云音乐《情话》封面是本田菊和本田樱的同人图10.微博小店仍试用亚瑟柯克兰的图片作为头像11.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生，视频名叫“感官先生”）12.《君不见》（【艾辰】君不见）碰瓷剑网三13.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品14.初期头像描图排骨教主15.碰瓷《二哈和他的白猫师尊》主题曲16.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。  17.轻视绘圈，之前找画手约头像的时候有明显侮辱言论""赚钱的活还不干""(意思就是画手人均见钱眼开)",2021-08-01 04:52:31,84
ac一发出视频，所有养老院的姐妹就看着它笑，有的叫道：“ac，你弹幕评论又被我们刷满了！”他不回答，在直播里对粉丝说：“这群疯狗人不多。”便继续拒绝道歉。姐妹们又故意高声嚷道：“你一定偷了人家的图！！”ac睁大眼睛说：“你怎么这样凭空污人清白……”“什么清白？我们亲眼见你盗了亚瑟的图作头像，吊着打。”ac便涨红了脸，脸上的青筋条条绽出，争辩道：“盗图不能叫偷……盗图！唱见的事，能叫偷么？”接连便是难懂的话，什么“道德绑架”，什么“不用理那些人”，什么“没有资格让我跟他们道歉”，引得众人都哄笑起来，养老院内外充满了快活的空气。,2021-07-16 10:14:54,83
艾辰的头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话。（from@黑兔_YaYaNou ）,2021-07-14 19:01:00,76
我来了姐妹们[脱单doge][脱单doge]ac一发出视频，所有养老院的姐妹就看着它笑，有的叫道：“ac，你弹幕评论又被我们刷满了！”他不回答，在直播里对粉丝说：“这群疯狗人不多。”便继续拒绝道歉。姐妹们又故意高声嚷道：“你一定偷了人家的图！！”ac睁大眼睛说：“你怎么这样凭空污人清白……”“什么清白？我们亲眼见你盗了亚瑟的图作头像，吊着打。”ac便涨红了脸，脸上的青筋条条绽出，争辩道：“盗图不能叫偷……盗图！唱见的事，能叫偷么？”接连便是难懂的话，什么“道德绑架”，什么“不用理那些人”，什么“没有资格让我跟他们道歉”，引得众人都哄笑起来，养老院内外充满了快活的空气。鲁迅先生yyds！！[脱单doge][脱单doge][脱单doge],2021-07-15 15:37:31,73
愿天堂有吃不完的草莓和饺子,2021-01-26 19:56:15,112
艾辰：写尽千山，落笔是你。望尽星辰，梦里是你。三分月色，七分是你。书尽泛黄，扉页是你。繁华落尽，枕畔是你。行尽万水，尽头是你。千山万水，归处是你。铁马是你，冰河也是你。 你是往日的情书是日落的余情未了是路人脚下不停生长的风也是我喜欢的人艾辰，往后余生都是你,2021-01-22 18:07:46,182
词曲编曲都不是他啊，我还想夸有才华？艾辰，一个碰瓷多个圈子，而且就是那种刮刮蹭蹭地碰瓷，跟他对线拉低圈子名誉，不对线又觉得这人像苍蝇一样烦,2021-07-19 20:40:22,72
道歉，给亚瑟道歉，给所有英厨道歉，给私信你换头像结果被你回不换咋地的姐妹道歉,2021-07-13 14:29:52,72
艾辰16年就喜欢的一位歌手，全民第一个关注的那时候我才10岁hhh笙歌家族我也加过当时我还在九群呢，记得现场在歌房听过艾辰唱歌。渐渐的长大了笙歌好像因为一件事变了不叫笙歌了，艾辰我一直关注，桃花凉，落，东坡等我都很喜欢呀，希望艾辰越来越好，永远爱你。最后辰风破浪，为艾远航[打call],2021-02-04 22:22:58,124
同志们 咱狙他的目的是为了让他道歉，事情闹大了谁也不好看  建议大家不要进行人身攻击给圈子招黑，就事论事，“某某唱见被某圈粉丝逼到退圈”这肯定会给圈子带来影响。希望大家能克制情绪，不要让别人抓住把柄,2021-07-19 11:27:04,71
用酷狗的哭了，没版权了[大哭]只能在B站循环了[大哭],2021-01-24 10:53:58,109
“我吹过你吹过的晚风 那我们算不算相拥”,2021-01-22 18:02:36,83
“亚瑟能给你们发原创歌曲吗？”,2021-07-19 22:52:14,66
用着日漫的画面 嘴里说着不爱国 老双标了[吐],2021-07-20 01:05:12,74
艾辰代表作:《告 我 啊》《不 换 咋 地》《一 群 疯 狗》《我 做 你 们 的 亚 瑟》《他 没 给 粉 丝 写 过 歌 吧》,2021-07-20 15:39:16,65
当你点开按时间的那一刻我就知道你是友军了[脱单doge][脱单doge],2021-07-16 18:35:26,63
三个字？告  我  啊,2021-07-13 20:01:14,63
一大阿婆还要描图头像,2021-07-10 19:07:23,63
我愿称之为大龄儿童踹养老院大门,2021-07-14 09:34:17,61
错位时空像别的歌因为没石锤我没计较。但你头像描图亚瑟是不是有点过了？,2021-07-11 01:16:02,61
头像描图你很牛？[笑][呆],2021-07-10 13:58:19,61
欢迎大家继续翻它黑历史，我可以来总结:[脱单doge]头像描图，态度极其恶劣视频直接盗用aph的图(还有一个不确定的，说是初期头像描图排骨教主，以及，撒野那事希望来个朋友细说[脱单doge])希望大家多多发现[脱单doge],2021-07-14 23:52:08,60
欢迎大家继续翻它黑历史，我可以来总结:[脱单doge]1原头像描图亚瑟柯克兰，态度极其恶劣2视频直接盗用aph的图(小菊亚瑟)3无版权翻唱撒野还魔改4现头像人设是偷的零度恋人的，来人细说[脱单doge](还有一个不确定的，说是初期头像描图排骨教主)希望大家多多发现[脱单doge]大家可以转下这个[脱单doge]随便扩散，这种人品的家伙指不定哪里又翻出来黑历史呢,2021-07-15 19:05:46,99
呜呜呜呜呜呜呜呜呜呜呜亚瑟宝原来那么努力练习中文吗呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜路转粉了呜呜呜呜呜呜呜呜,2021-07-15 11:52:36,59
描图不打算道歉了这是,2021-07-10 13:19:03,58
我喝过你喝过的西北风，那我们算不算一起穷,2021-01-22 21:00:34,84
我来了姐妹们[脱单doge][脱单doge]ac一发出视频，所有养老院的姐妹就看着它笑，有的叫道：“ac，你弹幕评论又被我们刷满了！”他不回答，在直播里对粉丝说：“这群疯狗人不多。”便继续拒绝道歉。姐妹们又故意高声嚷道：“你一定偷了人家的图！！”ac睁大眼睛说：“你怎么这样凭空污人清白……”“什么清白？我们亲眼见你盗了亚瑟的图作头像，吊着打。”ac便涨红了脸，脸上的青筋条条绽出，争辩道：“盗图不能叫偷……盗图！唱见的事，能叫偷么？”接连便是难懂的话，什么“道德绑架”，什么“不用理那些人”，什么“没有资格让我跟他们道歉”，引得众人都哄笑起来，养老院内外充满了快活的空气。鲁迅先生yyds！！[脱单doge][脱单doge][脱单doge],2021-07-15 11:02:18,57
【转发】艾辰黑历史合集：均  已  石  锤1.原头像描图亚瑟柯克兰，态度极其恶劣，且并不是全然无知，17年用原图做过头像2.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己）3.无版权翻唱撒野还魔改4.现头像人设是偷的零度恋人的，来人细说5.《念》Pv是描冰菓的6.酷狗音乐《醉赤壁》，网易云音乐《入戏太深》《踏山河》用的是英的那张图7.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森8.盗图《恋与制作人》中的白起9.网易云音乐《情话》封面是本田菊和本田樱的同人图10.微博小店仍试用亚瑟柯克兰的图片作为头像11.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生，视频名叫“感官先生”）12.《君不见》（【艾辰】君不见）碰瓷剑网三13.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品14.初期头像描图排骨教主15.碰瓷《二哈和他的白猫师尊》主题曲16.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。  ,2021-07-19 18:14:17,56
翻了这么多评论都是说亚蒂来当唱见的，这群人怎么能这样！我nori的歌比它强好多好吧？这波啊 这波是蹭亚瑟和nori热度[脱单doge],2021-07-15 22:22:25,56
三级号是个可爱的小生物，路过的每个哥哥姐姐都会摸摸他的头并且留下一个赞。(=・ω・=),2021-02-14 19:30:20,88
提醒一下，描的不只有亚瑟，还有小菊哦[脱单doge]多次描图自用，aph圈老熟人了[脱单doge]道歉道歉道歉~,2021-07-14 22:44:20,55
我吃过英sir吃过的司康，那我们算不算结婚[doge],2021-07-17 10:14:24,54
#亚瑟柯克兰 来中国当唱见#,2021-07-13 18:50:14,60
艾辰黑历史（请多多宣传一下）1，骂阴阳怪气，说他们只是炒作。2.原头像描图亚瑟柯克兰，态度极其恶劣 3.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己） 4.无版权翻唱撒野还魔改 5.现头像人设是偷的零度恋人的，来人细说 6.《念》Pv是描冰果的 7.酷狗音乐《醉赤壁》用的是英的那张图 8.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森 9.盗图《恋与制作人》中的白起 10.网易云音乐《情话》封面是本田菊和本田樱的同人图 11.微博小店仍试用亚瑟柯克兰的图片作为头像 12.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生） 13.《君不见》（【艾辰】君不见）碰瓷剑网三 14.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品 15.初期头像描图排骨教主 16.碰瓷《二哈和他的白猫师尊》主题曲 17.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。 （总结的，欢迎补充复制）,2021-07-18 05:46:17,53
英sir🇬🇧入b站啦[打call]！！！welcome to China！！！[给心心],2021-07-17 01:57:17,50
几年前我眼睛瞎了在全民K歌认识的你给你在荔枝直播刷了好几千块钱礼物[吐]（那是我一个月工资只有2300块钱）[无语]我给你刷礼物那时叫小子夜。加到了你微信你拉我的微信群我两年前就退了群还有加你的QQ群也退了群。纸片人在心中第一盗用我亚瑟跟黑塔利亚的图要点脸行吗[再见][再见][再见],2021-07-15 09:10:02,50
谢谢你能来中国，作为粉了你很多年的粉丝真的很感动，连夜又听了几遍你以前的歌，没想到这次你能唱中文歌，还没有外国口音，一定是下足了功夫😭谢谢你，亚瑟柯克兰，远渡重洋来看中国粉丝，，Welcome！UK！！！,2021-07-14 19:33:55,50
UK Welcome to bilibili[给心心][给心心][给心心],2021-07-14 07:10:29,50
亚瑟柯克兰来b站啦，伊厨欢迎~,2021-07-14 06:33:49,50
不打算道个歉吗？[微笑],2021-07-13 18:30:52,50
突然想起来了以前暗恋的一个男生。毕业的那天，我一个人回家，突然发现后面有辆自行车，是我暗恋的那个男生的。我没有回头和他打招呼，他也没有骑到前面来和我打招呼。我就一路走回了家，他就骑着自行车在我后面，一直小心着不超过我。后来就再也没见过面了。,2021-02-13 03:13:10,74
听着这歌想起墨茶，第四次破防大哭......,2021-01-28 02:00:32,68
各位小橙子们翻翻族谱看看是谁关注的up主更新了[妙啊],2021-01-22 19:26:01,73
艾辰代表作:《告 我 啊》[给心心][给心心][给心心]《不 换 咋 地》[给心心]《一 群 疯 狗》[给心心]《我 做 你 们 的 亚 瑟》[给心心][给心心][给心心][给心心]《他 没 给 粉 丝 写 过 歌 吧》[给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心],2021-07-22 09:38:05,49
