店铺名,店铺所在位置,人均消费,评分,美食名称,店铺图片链接,纬度,经度,最低价格,店铺ID,店铺详情页
甜啦啦（熙云府店）,新站区,13.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.9217,117.3036,0.1,1179638478,https://www.meituan.com/meishi/1179638478/
甜啦啦（包河苑商业街店）,包河苑,12.0,4.7,面包甜点,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.797,117.3196,0.1,987396746,https://www.meituan.com/meishi/987396746/
CoCo都可（欢乐颂二店）,亳州路,12.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8769,117.2613,8.15,42543953,https://www.meituan.com/meishi/42543953/
R&B珍奶（家天下生活广场店）,家天下生活广场,12.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/a0d2b3af2ce229fb815d10f9839b0f82343914.jpg,31.8964,117.3251,7.9,193494550,https://www.meituan.com/meishi/193494550/
CoCo都可（明光路店）,长江东路,13.0,4.7,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8653,117.3061,8.15,41168632,https://www.meituan.com/meishi/41168632/
蜜雪冰城（步行街海鲜一条街店）,宿州路,7.0,4.4,冰淇淋,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8634,117.2892,0.1,1754653474,https://www.meituan.com/meishi/1754653474/
茶百道（港澳广场店）,港澳广场,16.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.7911,117.2079,6.66,1571402903,https://www.meituan.com/meishi/1571402903/
卡旺卡（黉街店）,磨店,16.0,4.2,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.9328,117.3897,0.0,164655011,https://www.meituan.com/meishi/164655011/
R&B珍奶（陶冲湖店）,新站区,13.0,4.1,奶茶/果汁,http://p1.meituan.net/w.h/biztone/b614d0169e926efbc081fe786d54cbda212861.jpg,31.9353,117.3421,0.1,1840913305,https://www.meituan.com/meishi/1840913305/
蜜雪冰城（滨湖时代广场店）,高速滨湖时代广场,8.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/deal/5fa80c5ab4ca3b56e7c368bf397e31239662.jpg,31.7217,117.2833,0.1,1355836779,https://www.meituan.com/meishi/1355836779/
沪上阿姨鲜果茶（龙河路店）,蜀山区,15.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8486,117.2577,0.66,1297881497,https://www.meituan.com/meishi/1297881497/
CoCo都可（青阳路店）,青阳路,13.0,4.4,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8485,117.2417,5.0,776648827,https://www.meituan.com/meishi/776648827/
卡旺卡（电子产业园店）,高新区,16.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8669,117.1512,0.0,194155683,https://www.meituan.com/meishi/194155683/
CoCo都可（百大心悦城店）,高速时代城,13.0,4.4,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.7413,117.3183,5.0,1202883694,https://www.meituan.com/meishi/1202883694/
蜜雪冰城（万派城店）,万派广场,7.0,4.7,冰淇淋,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.7262,117.1628,0.1,853576047,https://www.meituan.com/meishi/853576047/
悸动烧仙草（新站广场店）,新站区,16.0,3.9,奶茶/果汁,http://p1.meituan.net/w.h/biztone/5b4a3aa88ef9b682a0861ba16a6950541293048.jpg,31.9394,117.3288,7.0,684815210,https://www.meituan.com/meishi/684815210/
蜜雪冰城（双岗店）,双岗,7.0,4.9,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8785,117.2873,0.1,766110478,https://www.meituan.com/meishi/766110478/
甜啦啦（翡翠商城店）,大学城,13.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.7614,117.2011,0.1,1688577606,https://www.meituan.com/meishi/1688577606/
蜜雪冰城（奥园城市天地店）,乐客来,7.0,4.1,冰淇淋,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8514,117.1684,0.1,1205313098,https://www.meituan.com/meishi/1205313098/
沪上阿姨鲜果茶（唯品会奥莱店）,政务区,15.0,3.9,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8176,117.2537,0.66,619901763,https://www.meituan.com/meishi/619901763/
7分甜（砂之船奥莱店）,高新区,20.0,4.5,奶茶/果汁,http://p1.meituan.net/w.h/biztone/1485171129_1636694415355.jpeg,31.8387,117.1174,18.9,1055084149,https://www.meituan.com/meishi/1055084149/
古茗（连水路店）,蒙城北路,15.0,4.7,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.9249,117.2669,13.0,939829699,https://www.meituan.com/meishi/939829699/
沪上阿姨鲜果茶（华府骏苑美食街店）,南七里站,15.0,4.1,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8305,117.2338,0.66,1782910692,https://www.meituan.com/meishi/1782910692/
茶百道（天街店）,武里山天街,15.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8989,117.3203,6.66,1116489843,https://www.meituan.com/meishi/1116489843/
悸动烧仙草（港荣百货店）,明发商业广场,17.0,3.6,奶茶/果汁,http://p1.meituan.net/w.h/biztone/5b4a3aa88ef9b682a0861ba16a6950541293048.jpg,31.8967,117.235,7.0,1023480992,https://www.meituan.com/meishi/1023480992/
沪上阿姨鲜果茶（利港幸福广场店）,利港银河广场,15.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.742,117.3038,0.66,635717244,https://www.meituan.com/meishi/635717244/
贡茶（龙岗店）,龙岗路,10.0,3.9,奶茶/果汁,http://p0.meituan.net/w.h/merchant/e2fd18a8e32e39d9b7b2bc9137d88572226522.png,31.8691,117.3766,6.9,1056049427,https://www.meituan.com/meishi/1056049427/
贡茶（兴园店）,华地紫园,0.0,4.2,奶茶/果汁,http://p1.meituan.net/w.h/wmproduct/834b56e844838a4b584a896e65ad5b5c135651.jpg,31.8191,117.2011,0.0,520367285,https://www.meituan.com/meishi/520367285/
甜啦啦（肥西花岗镇店）,肥西县,13.0,3.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.6304,117.0565,0.1,1914989328,https://www.meituan.com/meishi/1914989328/
茶百道（星达城店）,中环城,15.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1844271393_1636098027729.jpeg,31.7755,117.2121,6.66,597613650,https://www.meituan.com/meishi/597613650/
书亦烧仙草（簋街大学城店）,中环城,12.0,3.9,奶茶/果汁,http://p1.meituan.net/w.h/biztone/c79bc3e943d7c670a5f2a20ff8815944323607.jpg,31.7754,117.2066,6.66,1479103527,https://www.meituan.com/meishi/1479103527/
蜜雪冰城（临湖社区店）,经开区,7.0,4.0,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.7128,117.2468,0.1,1182505652,https://www.meituan.com/meishi/1182505652/
CoCo都可（科大讯飞店）,高新区,13.0,3.7,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8354,117.1437,5.0,543484681,https://www.meituan.com/meishi/543484681/
悸动烧仙草（武里山天街店）,武里山天街,16.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/biztone/5b4a3aa88ef9b682a0861ba16a6950541293048.jpg,31.8981,117.3197,7.0,919015642,https://www.meituan.com/meishi/919015642/
古茗（合肥工大店）,经开区,15.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.7755,117.2065,15.0,994872498,https://www.meituan.com/meishi/994872498/
沪上阿姨鲜果茶（合肥大学城店）,大学城,12.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.7754,117.2066,0.66,1808011765,https://www.meituan.com/meishi/1808011765/
贡茶（宝业店）,长江东路,12.0,4.1,奶茶/果汁,http://p1.meituan.net/w.h/merchant/8b76860d30d9b445c31f188ecd2ea041226424.png,31.8679,117.3369,6.9,1059560501,https://www.meituan.com/meishi/1059560501/
喜茶（百盛店）,淮河路步行街,29.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1906987447_1636598387732.jpeg,31.8645,117.2943,0.0,950477569,https://www.meituan.com/meishi/950477569/
茶百道（史河路凤凰城店）,凤凰城,15.0,4.7,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8621,117.2345,6.66,1006884718,https://www.meituan.com/meishi/1006884718/
本宫的茶（城市奥莱店）,安粮城市广场,12.0,4.4,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/df297e3728794a458331943793a12fcd84930.jpg,31.8178,117.2538,0.1,1422054848,https://www.meituan.com/meishi/1422054848/
CoCo都可（滨湖银泰负一楼店）,滨湖银泰城,13.0,4.7,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.7137,117.3015,5.0,658931846,https://www.meituan.com/meishi/658931846/
卡旺卡（万象城店）,华润万象城,17.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.7998,117.2309,0.0,164038729,https://www.meituan.com/meishi/164038729/
古茗（蜀山青阳路店）,青阳路,15.0,4.7,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.849,117.2417,13.0,1796645683,https://www.meituan.com/meishi/1796645683/
古茗（中心城店）,庐江县,15.0,4.3,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.2445,117.2909,13.0,1298073869,https://www.meituan.com/meishi/1298073869/
卡旺卡（宝业东城广场店）,东二环,16.0,4.7,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8698,117.3372,0.0,95272093,https://www.meituan.com/meishi/95272093/
蜜雪冰城（长丰步行街店）,水家湖火车站,7.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,32.4778,117.1669,0.1,1775164195,https://www.meituan.com/meishi/1775164195/
CoCo都可（步行街百盛店）,淮河路步行街,13.0,4.2,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8644,117.2938,24.0,791069807,https://www.meituan.com/meishi/791069807/
茶百道（家天下广场店）,家天下生活广场,15.0,3.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8948,117.3257,6.66,1112042529,https://www.meituan.com/meishi/1112042529/
茶百道（包河万达店）,万达广场,15.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8557,117.3023,6.66,1596568394,https://www.meituan.com/meishi/1596568394/
书亦烧仙草（武里山天街店）,武里山天街,12.0,4.5,奶茶/果汁,http://p1.meituan.net/w.h/biztone/c79bc3e943d7c670a5f2a20ff8815944323607.jpg,31.8982,117.3202,6.66,1917491239,https://www.meituan.com/meishi/1917491239/
CoCo都可（国购南门店）,之心城,13.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8525,117.2565,5.0,164488614,https://www.meituan.com/meishi/164488614/
卡旺卡（万科中心店）,四里河,18.0,4.8,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8922,117.2346,0.0,194332054,https://www.meituan.com/meishi/194332054/
1点点（合肥瑶海万达店）,瑶海万达广场,14.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/a370c5bd2898d1a23e2f00f373bdbbfa187020.jpg,31.8785,117.3496,0.0,157064803,https://www.meituan.com/meishi/157064803/
沪上阿姨鲜果茶（大铺头店）,高新区,15.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8542,117.1868,0.66,1489964420,https://www.meituan.com/meishi/1489964420/
SEECOLOR撞色（天鹅湖银泰城店）,天鹅湖银泰城,14.0,4.7,奶茶/果汁,http://p1.meituan.net/w.h/biztone/49b9bdc734d88bb905a10ba37d4d2254148434.jpg,31.8171,117.2341,6.9,966299385,https://www.meituan.com/meishi/966299385/
沪上阿姨鲜果茶（新都会环球购物广场店）,新都会家乐福,15.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8475,117.3015,0.66,743238098,https://www.meituan.com/meishi/743238098/
悸动烧仙草（合肥瑶海万达店）,瑶海万达广场,17.0,4.0,奶茶/果汁,http://p1.meituan.net/w.h/biztone/5b4a3aa88ef9b682a0861ba16a6950541293048.jpg,31.8772,117.3497,7.0,694275585,https://www.meituan.com/meishi/694275585/
CoCo都可（中天左岸店）,合裕路,12.0,4.2,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8484,117.3161,5.0,160151975,https://www.meituan.com/meishi/160151975/
蜜雪冰城（华府骏苑店）,南七里站,6.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8305,117.2348,0.1,193179274,https://www.meituan.com/meishi/193179274/
蜜雪冰城（胜利路店）,元一广场,6.0,4.9,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8746,117.3078,0.1,935076386,https://www.meituan.com/meishi/935076386/
古茗（武里山天街店）,武里山天街,15.0,4.8,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.8982,117.3206,12.0,711657091,https://www.meituan.com/meishi/711657091/
蜜雪冰城（合师紫蓬路店）,经开区,7.0,4.7,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.747,117.2297,0.1,193220369,https://www.meituan.com/meishi/193220369/
沪上阿姨鲜果茶（女人街店）,三孝口/女人街,15.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8603,117.2772,0.66,760756006,https://www.meituan.com/meishi/760756006/
武空茶（天鹅湖万达店）,天鹅湖万达广场,16.0,4.4,饮品店,http://p0.meituan.net/w.h/biztone/a058d0350d3120a4d5e857c7214af42349527.png,31.8206,117.2204,11.9,1097503238,https://www.meituan.com/meishi/1097503238/
蜜雪冰城（武里山天街店）,武里山天街,7.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8987,117.3205,0.1,1204819527,https://www.meituan.com/meishi/1204819527/
沪上阿姨鲜果茶（正大广场店）,明珠广场,15.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.7821,117.2289,0.66,1004545387,https://www.meituan.com/meishi/1004545387/
沪上阿姨鲜果茶（陶冲湖城市广场店）,新站区,15.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.9353,117.3421,0.66,1392342491,https://www.meituan.com/meishi/1392342491/
卡旺卡（桃花百大奥莱店）,百大奥莱,16.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8043,117.16,0.0,193196135,https://www.meituan.com/meishi/193196135/
卡旺卡（肥西联家店）,肥西县,17.0,4.5,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.74,117.1806,0.0,191193846,https://www.meituan.com/meishi/191193846/
蜜雪冰城（太湖路店）,宁国路商业区,8.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8319,117.2927,0.1,1672682556,https://www.meituan.com/meishi/1672682556/
CoCo都可（百脑汇店）,百脑汇,13.0,4.3,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8449,117.2726,5.0,1658537024,https://www.meituan.com/meishi/1658537024/
CoCo都可（新都会广场店）,新都会家乐福,12.0,4.2,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8478,117.3014,8.15,116047080,https://www.meituan.com/meishi/116047080/
武空茶（国购店）,之心城,13.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/a058d0350d3120a4d5e857c7214af42349527.png,31.8525,117.2564,11.9,721510644,https://www.meituan.com/meishi/721510644/
蜜雪冰城（老街店）,龙泉路,6.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8831,117.4673,2.0,52860891,https://www.meituan.com/meishi/52860891/
厝内小眷村（合肥悦方店）,悦方IDMALL,25.0,4.7,奶茶/果汁,http://p0.meituan.net/w.h/biztone/027d76c61af7aed789020f169523359c990188.jpg,31.7402,117.3046,0.1,193805186,https://www.meituan.com/meishi/193805186/
蜜雪冰城（双凤大道店）,阿奎利亚,7.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.9574,117.2632,0.1,805318946,https://www.meituan.com/meishi/805318946/
蜜雪冰城·冰淇淋与茶（祥源城店）,高新区,6.0,4.4,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8324,117.1296,0.0,1983883390,https://www.meituan.com/meishi/1983883390/
和气桃桃（滨湖悦方店）,悦方IDMALL,16.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/wmproduct/6b91f8b936aaa5c71aa20a765eed43d7527290.png,31.7402,117.3038,13.6,1442056059,https://www.meituan.com/meishi/1442056059/
茶百道（肥东吾悦广场金街店）,龙泉路,14.0,3.9,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.8723,117.4596,15.3,735663915,https://www.meituan.com/meishi/735663915/
沪上阿姨鲜果茶（双岗店）,双岗,15.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8785,117.2874,0.66,1036180225,https://www.meituan.com/meishi/1036180225/
沪上阿姨鲜果茶（大溪地店）,1912街区,15.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8407,117.2254,0.66,193298907,https://www.meituan.com/meishi/193298907/
甜啦啦（合肥经济技术职业学院店）,庐阳区,13.0,4.0,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.895,117.2149,0.1,560251955,https://www.meituan.com/meishi/560251955/
蜜雪冰城（新城吾悦广场店）,肥东县,6.0,4.1,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8715,117.4579,2.0,1667355434,https://www.meituan.com/meishi/1667355434/
CoCo都可（滨湖时代广场店）,高速时代广场,13.0,4.4,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.7219,117.2815,5.0,93859091,https://www.meituan.com/meishi/93859091/
CoCo都可（蜀峰路联家店）,乐客来,12.0,4.6,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8595,117.1687,5.0,742817314,https://www.meituan.com/meishi/742817314/
蜜雪冰城·（新天地店）,白水坝,7.0,4.1,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.8802,117.2798,0.1,1687963983,https://www.meituan.com/meishi/1687963983/
你好星球（加侨国际广场店）,加侨广场,15.0,4.0,奶茶/果汁,http://p0.meituan.net/w.h/merchant/0f68f07b754336369212f948e166a0e471423.jpg,31.8152,117.3012,7.8,604085384,https://www.meituan.com/meishi/604085384/
卡旺卡（正大广场店）,明珠广场,17.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.7813,117.2289,0.0,195154577,https://www.meituan.com/meishi/195154577/
古茗（北城世纪金源店）,世纪金源,16.0,4.6,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,32.0043,117.247,15.0,965496138,https://www.meituan.com/meishi/965496138/
和气桃桃（蜀山官亭路店）,三里庵,18.0,4.2,饮品店,http://p0.meituan.net/w.h/merchant/d09cf6d73a3c6f8b3b141c0447dd8865194471.jpg,31.8561,117.256,13.6,1781937873,https://www.meituan.com/meishi/1781937873/
茶百道（合肥学院店）,经开区,15.0,3.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.7558,117.2531,6.66,1124160447,https://www.meituan.com/meishi/1124160447/
1点点（祥源城银泰店）,高新区,16.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/a370c5bd2898d1a23e2f00f373bdbbfa187020.jpg,31.8325,117.1293,0.0,877906430,https://www.meituan.com/meishi/877906430/
CoCo都可（禹悦里店）,新站区,13.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.9036,117.3138,5.0,556507830,https://www.meituan.com/meishi/556507830/
厝内小眷村（合肥天鹅湖万达店）,天鹅湖万达广场,23.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/027d76c61af7aed789020f169523359c990188.jpg,31.821,117.2211,0.1,165167893,https://www.meituan.com/meishi/165167893/
沪上阿姨鲜果茶（阿奎利亚店）,阿奎利亚,0.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.9559,117.2648,0.66,793033640,https://www.meituan.com/meishi/793033640/
吾饮良品水果茶（星空影城店）,高速时代广场,11.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1857948745_1635556200825.jpeg,31.7223,117.283,0.01,1588846974,https://www.meituan.com/meishi/1588846974/
沪上阿姨鲜果茶（星达城店）,星达城购物中心,15.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.7752,117.2122,0.66,1344051206,https://www.meituan.com/meishi/1344051206/
